"Date","DV","VV","TN","TM","HR","PP","RAD_MEA","SUNSHINE","Nombre_Base"
2019-12-01,4,4.4,18.6,21.7,73,0,21,11.5833333333333,"metdata_Santamaria"
2020-01-01,4,3.6,17.4,21.9,64,0,19,11.5502777777778,"metdata_Santamaria"
1998-12-02,3,4.4,19.06,21.3,77,0.5,8.1,11.5775,"metdata_Santamaria"
1999-01-02,7,2.7,16.61,22,80,0,19.2,11.5536111111111,"metdata_Santamaria"
1999-02-02,3,7.5,18.16,21.6,63,0,17.6,11.7116666666667,"metdata_Santamaria"
1999-03-02,3,2.9,17.48,20.7,69,0.9,12.9,11.9444444444444,"metdata_Santamaria"
1999-04-02,3,6.2,17.89,23.3,54,0,25.3,12.23,"metdata_Santamaria"
1999-05-02,3,3.1,17.15,20.9,85,23.7,18.8,12.4883333333333,"metdata_Santamaria"
1999-06-02,3,2.8,16.94,21.8,87,0.8,17.6,12.6716666666667,"metdata_Santamaria"
1999-07-02,3,4,17.87,21.4,82,0,11.2,12.6955555555556,"metdata_Santamaria"
1999-08-02,3,3.3,18.97,21.7,84,4.9,11.3,12.5494444444444,"metdata_Santamaria"
1999-09-02,7,2.9,17.87,21.7,90,4.9,16.2,12.3002777777778,"metdata_Santamaria"
1999-10-02,7,2.6,18.61,21.2,93,2.6,19.7,12.0283333333333,"metdata_Santamaria"
1999-11-02,4,3.7,18.9,22.4,87,1.9,17.2,11.7616666666667,"metdata_Santamaria"
1999-12-02,3,5.9,17.78,21.1,76,0,15,11.5786111111111,"metdata_Santamaria"
2000-01-02,4,5.1,17.83,21.7,74,0,16.6,11.5530555555556,"metdata_Santamaria"
2000-02-02,3,5.1,16.76,22.3,66,0,20.7,11.71,"metdata_Santamaria"
2000-03-02,3,8,17.6,21.4,63,0,24.1,11.9511111111111,"metdata_Santamaria"
2000-04-02,3,6.4,18.33,23.3,58,0,26.2,12.2369444444444,"metdata_Santamaria"
2000-05-02,3,4.8,19.37,23.8,69,0,20.6,12.4938888888889,"metdata_Santamaria"
2000-06-02,6,2.5,16.9,22.1,91,9,20.2,12.6744444444444,"metdata_Santamaria"
2000-07-02,3,4.7,19.3,22.7,74,0,16.4,12.6941666666667,"metdata_Santamaria"
2000-08-02,3,2.7,16.49,20.8,89,6.7,15.7,12.5441666666667,"metdata_Santamaria"
2000-09-02,2,1.5,19.37,21.1,93,9,7.7,12.2938888888889,"metdata_Santamaria"
2000-10-02,7,1.7,18.23,21.3,94,0.2,17.5,12.0213888888889,"metdata_Santamaria"
2000-11-02,7,1.4,18.4,20.4,97,12,11.3,11.7558333333333,"metdata_Santamaria"
2000-12-02,2,0.9,20.23,21,97,16.7,7.4,11.5755555555556,"metdata_Santamaria"
2001-01-02,3,5.4,19.2,21.5,85,9,7.9,11.5547222222222,"metdata_Santamaria"
2001-02-02,3,8.5,17.77,21.6,62,0,23.5,11.7152777777778,"metdata_Santamaria"
2001-03-02,3,3.8,15.03,22.4,69,0,24.6,11.9486111111111,"metdata_Santamaria"
2001-04-02,3,5.4,19.49,24.8,67,0,25.3,12.2347222222222,"metdata_Santamaria"
